Bahrain Grand Prix,2022,57.0
Saudi Arabian Grand Prix,2022,50.0
Australian Grand Prix,2022,58.0
Emilia Romagna Grand Prix,2022,63.0
Miami Grand Prix,2022,57.0
Spanish Grand Prix,2022,66.0
Monaco Grand Prix,2022,64.0
Azerbaijan Grand Prix,2022,51.0
Canadian Grand Prix,2022,70.0
British Grand Prix,2022,52.0
Austrian Grand Prix,2022,71.0
French Grand Prix,2022,53.0
Hungarian Grand Prix,2022,70.0
Belgian Grand Prix,2022,44.0
Dutch Grand Prix,2022,72.0
Italian Grand Prix,2022,53.0
Singapore Grand Prix,2022,59.0
Japanese Grand Prix,2022,29.0
United States Grand Prix,2022,56.0
Mexico City Grand Prix,2022,71.0
Sao Paulo Grand Prix,2022,71.0
Abu Dhabi Grand Prix,2022,58.0
Bahrain Grand Prix,2023,57.0
Saudi Arabian Grand Prix,2023,50.0
Australian Grand Prix,2023,58.0
Azerbaijan Grand Prix,2023,51.0
Miami Grand Prix,2023,57.0
Monaco Grand Prix,2023,78.0
Spanish Grand Prix,2023,66.0
Canadian Grand Prix,2023,70.0
Austrian Grand Prix,2023,71.0
British Grand Prix,2023,52.0
Hungarian Grand Prix,2023,70.0
Belgian Grand Prix,2023,44.0
Dutch Grand Prix,2023,72.0
Italian Grand Prix,2023,51.0
Singapore Grand Prix,2023,62.0
Japanese Grand Prix,2023,53.0
Qatar Grand Prix,2023,57.0
United States Grand Prix,2023,56.0
Mexico City Grand Prix,2023,71.0
Sao Paulo Grand Prix,2023,71.0
Las Vegas Grand Prix,2023,50.0
Abu Dhabi Grand Prix,2023,58.0
Bahrain Grand Prix,2024,57.0
Saudi Arabian Grand Prix,2024,50.0
Australian Grand Prix,2024,58.0
Japanese Grand Prix,2024,53.0
Chinese Grand Prix,2024,56.0
Miami Grand Prix,2024,57.0
Emilia Romagna Grand Prix,2024,63.0
Monaco Grand Prix,2024,78.0
Canadian Grand Prix,2024,70.0
Spanish Grand Prix,2024,66.0
Austrian Grand Prix,2024,71.0
British Grand Prix,2024,52.0
Hungarian Grand Prix,2024,70.0
Belgian Grand Prix,2024,44.0
Dutch Grand Prix,2024,72.0
Italian Grand Prix,2024,53.0
Azerbaijan Grand Prix,2024,51.0
Singapore Grand Prix,2024,62.0
United States Grand Prix,2024,56.0
Mexico City Grand Prix,2024,71.0
Sao Paulo Grand Prix,2024,69.0
Las Vegas Grand Prix,2024,50.0
Qatar Grand Prix,2024,57.0
Abu Dhabi Grand Prix,2024,58.0
Australian Grand Prix,2025,57.0
Chinese Grand Prix,2025,56.0
Japanese Grand Prix,2025,53.0
Bahrain Grand Prix,2025,57.0
Saudi Arabian Grand Prix,2025,50.0
Miami Grand Prix,2025,57.0
Emilia Romagna Grand Prix,2025,63.0
Monaco Grand Prix,2025,78.0
Spanish Grand Prix,2025,66.0
Canadian Grand Prix,2025,70.0
Austrian Grand Prix,2025,70.0
British Grand Prix,2025,52.0
