VER,red_bull,1,2023,C3,1.0,0 days 00:01:39.019000,4.0
VER,red_bull,1,2023,C3,2.0,0 days 00:01:37.974000,5.0
VER,red_bull,1,2023,C3,3.0,0 days 00:01:38.006000,6.0
VER,red_bull,1,2023,C3,4.0,0 days 00:01:37.976000,7.0
VER,red_bull,1,2023,C3,5.0,0 days 00:01:38.035000,8.0
VER,red_bull,1,2023,C3,6.0,0 days 00:01:37.986000,9.0
VER,red_bull,1,2023,C3,7.0,0 days 00:01:38.021000,10.0
VER,red_bull,1,2023,C3,8.0,0 days 00:01:38.154000,11.0
VER,red_bull,1,2023,C3,9.0,0 days 00:01:38.278000,12.0
VER,red_bull,1,2023,C3,10.0,0 days 00:01:38.369000,13.0
VER,red_bull,1,2023,C3,11.0,0 days 00:01:38.483000,14.0
VER,red_bull,1,2023,C3,12.0,0 days 00:01:38.591000,15.0
VER,red_bull,1,2023,C3,13.0,0 days 00:01:38.482000,16.0
VER,red_bull,1,2023,C3,14.0,0 days 00:01:41.295000,17.0
VER,red_bull,1,2023,C3,15.0,0 days 00:01:58.378000,1.0
VER,red_bull,1,2023,C3,16.0,0 days 00:01:37.801000,2.0
VER,red_bull,1,2023,C3,17.0,0 days 00:01:37.648000,3.0
VER,red_bull,1,2023,C3,18.0,0 days 00:01:37.614000,4.0
VER,red_bull,1,2023,C3,19.0,0 days 00:01:37.712000,5.0
VER,red_bull,1,2023,C3,20.0,0 days 00:01:37.788000,6.0
VER,red_bull,1,2023,C3,21.0,0 days 00:01:37.582000,7.0
VER,red_bull,1,2023,C3,22.0,0 days 00:01:37.651000,8.0
VER,red_bull,1,2023,C3,23.0,0 days 00:01:37.552000,9.0
VER,red_bull,1,2023,C3,24.0,0 days 00:01:37.387000,10.0
VER,red_bull,1,2023,C3,25.0,0 days 00:01:37.372000,11.0
VER,red_bull,1,2023,C3,26.0,0 days 00:01:37.682000,12.0
VER,red_bull,1,2023,C3,27.0,0 days 00:01:37.379000,13.0
VER,red_bull,1,2023,C3,28.0,0 days 00:01:37.651000,14.0
VER,red_bull,1,2023,C3,29.0,0 days 00:01:37.571000,15.0
VER,red_bull,1,2023,C3,30.0,0 days 00:01:37.549000,16.0
VER,red_bull,1,2023,C3,31.0,0 days 00:01:37.431000,17.0
VER,red_bull,1,2023,C3,32.0,0 days 00:01:37.691000,18.0
VER,red_bull,1,2023,C3,33.0,0 days 00:01:37.686000,19.0
VER,red_bull,1,2023,C3,34.0,0 days 00:01:37.839000,20.0
VER,red_bull,1,2023,C3,35.0,0 days 00:01:37.850000,21.0
VER,red_bull,1,2023,C3,36.0,0 days 00:01:40.964000,22.0
VER,red_bull,1,2023,C1,37.0,0 days 00:01:58.490000,1.0
VER,red_bull,1,2023,C1,38.0,0 days 00:01:36.297000,2.0
VER,red_bull,1,2023,C1,39.0,0 days 00:01:36.446000,3.0
VER,red_bull,1,2023,C1,40.0,0 days 00:01:36.942000,4.0
VER,red_bull,1,2023,C1,41.0,0 days 00:02:00.495000,5.0
VER,red_bull,1,2023,C1,42.0,0 days 00:01:44.824000,6.0
VER,red_bull,1,2023,C1,43.0,0 days 00:01:36.890000,7.0
VER,red_bull,1,2023,C1,44.0,0 days 00:01:36.236000,8.0
VER,red_bull,1,2023,C1,45.0,0 days 00:01:37.015000,9.0
VER,red_bull,1,2023,C1,46.0,0 days 00:01:36.701000,10.0
VER,red_bull,1,2023,C1,47.0,0 days 00:01:37.009000,11.0
VER,red_bull,1,2023,C1,48.0,0 days 00:01:36.918000,12.0
VER,red_bull,1,2023,C1,49.0,0 days 00:01:36.962000,13.0
VER,red_bull,1,2023,C1,50.0,0 days 00:01:37.250000,14.0
VER,red_bull,1,2023,C1,51.0,0 days 00:01:37.427000,15.0
VER,red_bull,1,2023,C1,52.0,0 days 00:01:36.919000,16.0
VER,red_bull,1,2023,C1,53.0,0 days 00:01:36.890000,17.0
VER,red_bull,1,2023,C1,54.0,0 days 00:01:36.678000,18.0
VER,red_bull,1,2023,C1,55.0,0 days 00:01:36.322000,19.0
VER,red_bull,1,2023,C1,56.0,0 days 00:01:37.205000,20.0
VER,red_bull,1,2023,C1,57.0,0 days 00:01:36.373000,21.0
GAS,alpine,1,2023,C3,1.0,0 days 00:01:49.649000,1.0
GAS,alpine,1,2023,C3,2.0,0 days 00:01:40.438000,2.0
GAS,alpine,1,2023,C3,3.0,0 days 00:01:40.643000,3.0
GAS,alpine,1,2023,C3,4.0,0 days 00:01:40.894000,4.0
GAS,alpine,1,2023,C3,5.0,0 days 00:01:40.818000,5.0
GAS,alpine,1,2023,C3,6.0,0 days 00:01:41.110000,6.0
GAS,alpine,1,2023,C3,7.0,0 days 00:01:41.134000,7.0
GAS,alpine,1,2023,C3,8.0,0 days 00:01:41.173000,8.0
GAS,alpine,1,2023,C3,9.0,0 days 00:01:44.201000,9.0
GAS,alpine,1,2023,C1,10.0,0 days 00:02:01.262000,1.0
GAS,alpine,1,2023,C1,11.0,0 days 00:01:38.762000,2.0
GAS,alpine,1,2023,C1,12.0,0 days 00:01:38.928000,3.0
GAS,alpine,1,2023,C1,13.0,0 days 00:01:39.349000,4.0
GAS,alpine,1,2023,C1,14.0,0 days 00:01:38.859000,5.0
GAS,alpine,1,2023,C1,15.0,0 days 00:01:38.985000,6.0
